text,label
I was just shopping online for some tickets and the payment was declined by you.  Why has this happened?  I am certain I have the right amount of funds in my account.,25
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",13
Where to check top ups pending?,47
how do I link an already existing card?,13
"I requested a refund from a merchant a while ago, and upon repeatedly checking my statement, the merchant has yet to refund me my money.  I don't know what's going on, or why the money is getting into my account--could you please help?",51
Why hasn't my money transfer showed up yet?,5
I tried to use my card to withdrawal money from the ATM in Notting Hill but it didn't work. This is the first time I've tried using it. Is my card working?,26
I was made to pay an additional pound!,34
"I've been waiting for a pending transfer to go through for a while now, and don't see any reason why I've been waiting this long.  I know that I have the correct account details, so that isn't the problem.",48
Can I get my money back on an item?,52
Are there any express fees if i want my new card faster?,9
Why hasn't my friend received the transaction?,66
how do i get the card linked,13
"If I need more cards, are there any fees?",39
I am seeing pending from the card payment I made.,45
Please help my find out why there is an odd direct debit in my records.,28
My card payment is showing pending however this transaction was a couple of days ago. Is there a reason why it it still pending?,45
I have a canceled top-up and wanted to know about it.,61
I contacted a seller about a refund last week but he still hasn't returned my money. I am frustrated and need these funds. Please help me get my money back.,51
Why do I see an extra fee on my statement?,34
My top-up has been cancelled.,61
There is a payment on my card that I do not recognize.,16
When will my top-up process?,47
I bought an item at the wrong exchange rate.,17
How do i cancel a charge?,8
Just today there was a purchase on my card that wasn't done by me. Can this be reversed and my card be frozen? I can't have this continue!,16
Why was a transfer to an account not allowed?,7
I think my top up was reversed.,61
I need to move money to another beneficiary. Why is it not working?,7
How can I fix this?  There is a double charge on my account.,63
Which countries are you available in?,24
there is a transfer pending.,48
I am seeing in the App a some cash withdrawal that its not mine,20
My top-up is taking a very long time to complete.,47
Why was I charged an additional fee when paying with card?,15
Please assist me in activating the card.,0
Can I choose what card I can use,73
Why hasnt my top up gone through yet?? I thought it was suppose to be instant? Am I wrong? Why is it still pending?,47
"I still haven't received my card after two weeks, is it lost?",11
When will my transfer finish pending?,48
"I am seeing unathorized transactions in the app, on my account.",20
What do I do if there is a direct debit on my account that shouldn't be there?,28
"I am unhappy with my purchase, how do I cancel the order?",52
I have a payment that hasn't went through yet.,45
Are both Visa and Mastercard offered?,73
"I did not get my card yet, is it lost?",11
What caused my transfer to fail?,35
I believed crypto top up with something you offered. This does not seem to be working. The money has been removed from my account though so what's going on?,61
A direct debit payment I didn't do shows in my app,28
What do I do after my card expires?,9
My top-up hasn't gone through,47
I would like to get additional physical cards at this time,39
I think the exchange rate was incorrect.,76
Tell me what I should do after my card expires.,9
I attempted to get money using a foreign currency at an ATM but the rate was highly inaccurate!,76
I have a transaction showing up multiple times.,63
I just had my card get declined at the ATM! I need to get money out but I am unable to.  Why has this happened?,26
I would like to use one of my cards for a family member. Is that allowed?,39
Is there a reason my new card hasn't arrived?,11
I have a payment I didn't do,16
I made a cash deposit going to my account but it is not there,6
"How do I freeze my bank card, as there has been a strange withdrawal?",20
I requested money from the ATM and it didn't give me as much as I requested.,75
I am being charged a transfer fee aren't they free?,64
There has been a transfer pending in my account and I wanted to know how long it is going to take to go  through.,48
Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,17
What's the deal? Money has just disappeared out of my account. I thought you offered crypto top up and it doesn't seem to working.,61
"I have arranged a transfer, but no longer need to send it. How do I stop the transfer?",8
My card payment did not go through.,25
I would like to have assistance with activating my card.,0
"|I moved out of my old house two weeks ago and cancelled my direct debit to my old landlord, this direct debit was working fine.  Now I've moved in to a new place and set up a transfer to a new landlord but it's not reached her yet, can you check it please?",66
My card payment was not successful.,25
Am I able to get a refund for something I bought?,52
"Bank transfer to account did not show up, please help?",5
The cast deposit from a week ago still is not in my account. Why?,6
What type of card can I get?,73
The machine only paid me a hundred when I wanted 20,75
I don't know where a direct debit payment came from,28
How do I activate a card?,0
I have a 1 euro fee on my statement.,34
"If I can, I would like to get both Mastercard and Visa from you.",73
There is a fraudulent payment!,16
I deposited a cheque a week ago but have yet to receive the cash.,6
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",13
Why was the transfer declined?,27
I believe there is a mistake because a payment I didn't make shows in my app.,16
